26 1094.78
52 1910.05
78 2566.23
104 3003.91
130 3274.55
156 3413.19
182 3491.84
208 3541.2
234 3569.34
260 3579.04
286 3573.56
312 3565.05
338 3555.61
364 3548.27
390 3538.83
416 3530.65
442 3524.69
468 3520.54
494 3517.35
520 3514.75
546 3514.08
572 3514.8
598 3514.99
624 3515.58
650 3515.61
676 3515.33
702 3523.62
728 3401.32
754 2482.97
780 1714.75
806 1163.68
832 761.502
858 471.156
884 311.452
910 208.387
936 139.381
962 96.3527
988 69.3291
1014 50.8791
1040 37.9941
1066 29.1126
1092 22.4663
