0	0	2.24771e-06
0	1	2.24771e-06
0	2	2.24771e-06
0	3	2.24771e-06
0	4	2.24771e-06
0	5	2.24771e-06
0	6	2.24771e-06
0	7	2.24771e-06
0	8	2.24771e-06
0	9	2.24771e-06
0	10	2.24771e-06
0	11	2.24771e-06
0	12	2.24771e-06
0	13	2.24771e-06
0	14	2.24771e-06
0	15	2.24771e-06
0	16	2.24771e-06
0	17	2.24771e-06
0	18	2.24771e-06
0	19	2.24771e-06
0	20	2.24771e-06
0	21	2.24771e-06
0	22	2.24771e-06
0	23	2.24771e-06
0	24	2.24771e-06
0	25	2.24771e-06
0	26	2.24771e-06
0	27	2.24771e-06
0	28	2.24771e-06
0	29	2.24771e-06
0	30	2.24771e-06
0	31	2.24771e-06
0	32	2.24771e-06
0	33	2.24771e-06
0	34	2.24771e-06
0	35	2.24771e-06
0	36	2.24771e-06
0	37	2.24771e-06
0	38	2.24771e-06
0	39	2.24771e-06
0	40	2.24771e-06
0	41	2.24771e-06
0	42	2.24771e-06
0	43	2.24771e-06
0	44	2.24771e-06
0	45	2.24771e-06
0	46	2.24771e-06
0	47	2.24771e-06
0	48	2.24771e-06
0	49	2.24771e-06
0	50	2.24771e-06
0	51	2.24771e-06
0	52	2.24771e-06
0	53	2.24771e-06
0	54	2.24771e-06
0	55	2.24771e-06
0	56	2.24771e-06
0	57	2.24771e-06
0	58	2.24771e-06
0	59	2.24771e-06
0	60	2.24771e-06
0	61	2.24771e-06
0	62	2.24771e-06
0	63	2.24771e-06

1	0	4.19058e-06
1	1	4.19058e-06
1	2	4.19058e-06
1	3	4.19058e-06
1	4	4.19058e-06
1	5	4.19058e-06
1	6	4.19058e-06
1	7	4.19058e-06
1	8	4.19058e-06
1	9	4.19058e-06
1	10	4.19058e-06
1	11	4.19058e-06
1	12	4.19058e-06
1	13	4.19058e-06
1	14	4.19058e-06
1	15	4.19058e-06
1	16	4.19058e-06
1	17	4.19058e-06
1	18	4.19058e-06
1	19	4.19058e-06
1	20	4.19058e-06
1	21	4.19058e-06
1	22	4.19058e-06
1	23	4.19058e-06
1	24	4.19058e-06
1	25	4.19058e-06
1	26	4.19058e-06
1	27	4.19058e-06
1	28	4.19058e-06
1	29	4.19058e-06
1	30	4.19058e-06
1	31	4.19058e-06
1	32	4.19058e-06
1	33	4.19058e-06
1	34	4.19058e-06
1	35	4.19058e-06
1	36	4.19058e-06
1	37	4.19058e-06
1	38	4.19058e-06
1	39	4.19058e-06
1	40	4.19058e-06
1	41	4.19058e-06
1	42	4.19058e-06
1	43	4.19058e-06
1	44	4.19058e-06
1	45	4.19058e-06
1	46	4.19058e-06
1	47	4.19058e-06
1	48	4.19058e-06
1	49	4.19058e-06
1	50	4.19058e-06
1	51	4.19058e-06
1	52	4.19058e-06
1	53	4.19058e-06
1	54	4.19058e-06
1	55	4.19058e-06
1	56	4.19058e-06
1	57	4.19058e-06
1	58	4.19058e-06
1	59	4.19058e-06
1	60	4.19058e-06
1	61	4.19058e-06
1	62	4.19058e-06
1	63	4.19058e-06

2	0	7.65981e-06
2	1	7.65981e-06
2	2	7.65981e-06
2	3	7.65981e-06
2	4	7.65981e-06
2	5	7.65981e-06
2	6	7.65981e-06
2	7	7.65981e-06
2	8	7.65981e-06
2	9	7.65981e-06
2	10	7.65981e-06
2	11	7.65981e-06
2	12	7.65981e-06
2	13	7.65981e-06
2	14	7.65981e-06
2	15	7.65981e-06
2	16	7.65981e-06
2	17	7.65981e-06
2	18	7.65981e-06
2	19	7.65981e-06
2	20	7.65981e-06
2	21	7.65981e-06
2	22	7.65981e-06
2	23	7.65981e-06
2	24	7.65981e-06
2	25	7.65981e-06
2	26	7.65981e-06
2	27	7.65981e-06
2	28	7.65981e-06
2	29	7.65981e-06
2	30	7.65981e-06
2	31	7.65981e-06
2	32	7.65981e-06
2	33	7.65981e-06
2	34	7.65981e-06
2	35	7.65981e-06
2	36	7.65981e-06
2	37	7.65981e-06
2	38	7.65981e-06
2	39	7.65981e-06
2	40	7.65981e-06
2	41	7.65981e-06
2	42	7.65981e-06
2	43	7.65981e-06
2	44	7.65981e-06
2	45	7.65981e-06
2	46	7.65981e-06
2	47	7.65981e-06
2	48	7.65981e-06
2	49	7.65981e-06
2	50	7.65981e-06
2	51	7.65981e-06
2	52	7.65981e-06
2	53	7.65981e-06
2	54	7.65981e-06
2	55	7.65981e-06
2	56	7.65981e-06
2	57	7.65981e-06
2	58	7.65981e-06
2	59	7.65981e-06
2	60	7.65981e-06
2	61	7.65981e-06
2	62	7.65981e-06
2	63	7.65981e-06

3	0	1.3727e-05
3	1	1.3727e-05
3	2	1.3727e-05
3	3	1.3727e-05
3	4	1.3727e-05
3	5	1.3727e-05
3	6	1.3727e-05
3	7	1.3727e-05
3	8	1.3727e-05
3	9	1.3727e-05
3	10	1.3727e-05
3	11	1.3727e-05
3	12	1.3727e-05
3	13	1.3727e-05
3	14	1.3727e-05
3	15	1.3727e-05
3	16	1.3727e-05
3	17	1.3727e-05
3	18	1.3727e-05
3	19	1.3727e-05
3	20	1.3727e-05
3	21	1.3727e-05
3	22	1.3727e-05
3	23	1.3727e-05
3	24	1.3727e-05
3	25	1.3727e-05
3	26	1.3727e-05
3	27	1.3727e-05
3	28	1.3727e-05
3	29	1.3727e-05
3	30	1.3727e-05
3	31	1.3727e-05
3	32	1.3727e-05
3	33	1.3727e-05
3	34	1.3727e-05
3	35	1.3727e-05
3	36	1.3727e-05
3	37	1.3727e-05
3	38	1.3727e-05
3	39	1.3727e-05
3	40	1.3727e-05
